Unnamed: 0	Query	Path_Bandage	Start_Bandage	End_Bandage	Extracted_Path	Start_SPAligner	End_SPAligner	Length_SPAligner	Path_SPAligner	Path_GraphAligner	Start_GraphAligner	End_GraphAligner	BandageVSSPAligner	FinalResultsBandageVSSPAligner	SPAlignerVSGraphAligner	FinalResultsSPAlignerVSGraphAligner	BandageVSGraphAligner	ResultsBandageVSGraphAligner	FinalResultBandageVSGraphAligner
98	gb|AJ318094|+|0-861|ARO:3000961|TEM-94	"(47) 3478183-, 50639855- (37) , (47) 3478183-, 36393793+ (37)"	"47, 47"	"37, 37"	"3478183, 50639855,3478183, 36393793"	46	852	806	3478183	3478183	47	907	Different	SinglePathMatch	MatchOnPath	SinglePathMatch	Different	SinglePathMatch	SinglePathMatch
99	gb|AJ437107|+|208-1069|ARO:3000900|TEM-30	"(47) 3478183-, 50639855- (37) , (47) 3478183-, 36393793+ (37)"	"47, 47"	"37, 37"	"3478183, 50639855,3478183, 36393793"	46	852	806	3478183	3478183	47	907	Different	SinglePathMatch	MatchOnPath	SinglePathMatch	Different	SinglePathMatch	SinglePathMatch
100	gb|AJ575184.1|+|0-1152|ARO:3003851|ADC-5	(64) 126080+ (1215)	64	1215	126080	63	1160	1097	126080	126080	64	1215	MatchOnPath	SinglePathMatch	MatchOnPath	SinglePathMatch	Full	SinglePathMatch	Full
101	gb|AJ579365.1|+|4149-5628|ARO:3003111|lsaB	(1201) 3833997- (2679)	1201	2679	3833997	1200	2620	1420	3833997	3833997	1201	2679	MatchOnPath	SinglePathMatch	MatchOnPath	SinglePathMatch	Full	SinglePathMatch	Full
102	gb|AJ634602.1|-|7839-8700|ARO:3000999|TEM-135	"(47) 3478183-, 50639855- (37) , (47) 3478183-, 36393793+ (37)"	"47, 47"	"37, 37"	"3478183, 50639855,3478183, 36393793"	46	852	806	3478183	3478183	47	907	Different	SinglePathMatch	MatchOnPath	SinglePathMatch	Different	SinglePathMatch	SinglePathMatch
103	gb|AJ746225|+|0-861|ARO:3000993|TEM-129	"(47) 3478183-, 50639855- (37) , (47) 3478183-, 36393793+ (37)"	"47, 47"	"37, 37"	"3478183, 50639855,3478183, 36393793"	46	852	806	3478183	3478183	47	907	Different	SinglePathMatch	MatchOnPath	SinglePathMatch	Different	SinglePathMatch	SinglePathMatch
104	gb|AJ809407|+|118-898|ARO:3002620|aadA23	(31) 104600- (802)	31	802	104600	37	747	710	104600	104600	31	802	MatchOnPath	SinglePathMatch	MatchOnPath	SinglePathMatch	Full	SinglePathMatch	Full
105	gb|AJ854182|+|0-801|ARO:3001798|OXA-74	(660) 104604+ (1460)	660	1460	104604	659	1405	746	104604	104604	660	1460	MatchOnPath	SinglePathMatch	MatchOnPath	SinglePathMatch	Full	SinglePathMatch	Full
106	gb|AJ863560|+|0-861|ARO:3001111|SHV-55	(17) 1612535+ (877)	17	877	1612535	16	822	806	1612535	1612535	17	877	MatchOnPath	SinglePathMatch	MatchOnPath	SinglePathMatch	Full	SinglePathMatch	Full
107	gb|AJ866284|+|0-861|ARO:3001116|SHV-61	(17) 1612535+ (877)	17	877	1612535	16	822	806	1612535	1612535	17	877	MatchOnPath	SinglePathMatch	MatchOnPath	SinglePathMatch	Full	SinglePathMatch	Full
108	gb|AJ866285|+|0-861|ARO:3001117|SHV-62	(17) 1612535+ (877)	17	877	1612535	16	822	806	1612535	1612535	17	877	MatchOnPath	SinglePathMatch	MatchOnPath	SinglePathMatch	Full	SinglePathMatch	Full
109	gb|AJ866988|+|0-861|ARO:3000994|TEM-130	"(47) 3478183-, 50639855- (37) , (47) 3478183-, 36393793+ (37)"	"47, 47"	"37, 37"	"3478183, 50639855,3478183, 36393793"	46	852	806	3478183	3478183	47	907	Different	SinglePathMatch	MatchOnPath	SinglePathMatch	Different	SinglePathMatch	SinglePathMatch
110	gb|AJ920369|+|23-860|ARO:3001071|SHV-12	(17) 1612535+ (853)	17	853	1612535	16	798	782	1612535	1612535	17	853	MatchOnPath	SinglePathMatch	MatchOnPath	SinglePathMatch	Full	SinglePathMatch	Full
111	gb|AL009126.3|-|339155-339749|ARO:3003059|tmrB	"(34) 3056893- (626) , (537) 2170980- (1130)"	"34, 537"	"626, 1130"	"3056893,2170980"	33	571	538	3056893	3056893	34	626	Different	SinglePathMatch	MatchOnPath	SinglePathMatch	Different	SinglePathMatch	SinglePathMatch
112	gb|AL009126|+|916777-919348|ARO:3003324|Bacillus_subtilis_mprF	0	0	0	0	"0,0,0,0"	"213,221,446,656"	213;221;446;656	1396557;55171538;833946;1508585	5435	1	2157	Different	Different	Different	Different	Different	Different	Different
113	gb|AL009126|-|2735681-2736536|ARO:3002627|aadK	(2992) 3873945+ (3844)	2992	3844	3873945	2991	3789	798	3873945	3873945	2992	3846	MatchOnPath	SinglePathMatch	MatchOnPath	SinglePathMatch	MatchOnPathAndStart	SinglePathMatch	SinglePathMatch
114	gb|AL513383|+|161910-162771|ARO:3000873|TEM-1	"(47) 3478183-, 50639855- (37) , (47) 3478183-, 36393793+ (37)"	"47, 47"	"37, 37"	"3478183, 50639855,3478183, 36393793"	46	852	806	3478183	3478183	47	907	Different	SinglePathMatch	MatchOnPath	SinglePathMatch	Different	SinglePathMatch	SinglePathMatch
115	gb|AM040708.1|+|1173-1965|ARO:3004704|aadA8b	(11) 104600- (802)	11	802	104600	"0,10"	"267,747"	267;737	41790385;104600	104600	11	802	Different	Different	Different	Different	Full	SinglePathMatch	Full
116	gb|AM049399|+|0-861|ARO:3001007|TEM-144	"(47) 3478183-, 50639855- (37) , (47) 3478183-, 36393793+ (37)"	"47, 47"	"37, 37"	"3478183, 50639855,3478183, 36393793"	46	852	806	3478183	3478183	47	907	Different	SinglePathMatch	MatchOnPath	SinglePathMatch	Different	SinglePathMatch	SinglePathMatch
117	gb|AM087453|+|25-856|ARO:3001138|SHV-84	(17) 1612535+ (847)	17	847	1612535	16	792	776	1612535	1612535	17	847	MatchOnPath	SinglePathMatch	MatchOnPath	SinglePathMatch	Full	SinglePathMatch	Full
118	gb|AM087454|+|208-1069|ARO:3001015|TEM-148	"(47) 3478183-, 50639855- (37) , (47) 3478183-, 36393793+ (37)"	"47, 47"	"37, 37"	"3478183, 50639855,3478183, 36393793"	46	852	806	3478183	3478183	47	907	Different	SinglePathMatch	MatchOnPath	SinglePathMatch	Different	SinglePathMatch	SinglePathMatch
119	gb|AM176546|+|0-861|ARO:3001125|SHV-71	(17) 1612535+ (877)	17	877	1612535	16	822	806	1612535	1612535	17	877	MatchOnPath	SinglePathMatch	MatchOnPath	SinglePathMatch	Full	SinglePathMatch	Full
120	gb|AM176547|+|30-891|ARO:3001126|SHV-72	(17) 1612535+ (877)	17	877	1612535	16	822	806	1612535	1612535	17	877	MatchOnPath	SinglePathMatch	MatchOnPath	SinglePathMatch	Full	SinglePathMatch	Full
121	gb|AM176548|+|16-874|ARO:3001127|SHV-73	(25) 1612535+ (877)	25	877	1612535	16	822	806	1612535	1612535	25	877	MatchOnPath	SinglePathMatch	MatchOnPath	SinglePathMatch	Full	SinglePathMatch	Full
122	gb|AM176549|+|30-891|ARO:3001128|SHV-74	(17) 1612535+ (877)	17	877	1612535	16	822	806	1612535	1612535	17	877	MatchOnPath	SinglePathMatch	MatchOnPath	SinglePathMatch	Full	SinglePathMatch	Full
123	gb|AM176550|+|30-891|ARO:3001129|SHV-75	(17) 1612535+ (877)	17	877	1612535	16	822	806	1612535	1612535	17	877	MatchOnPath	SinglePathMatch	MatchOnPath	SinglePathMatch	Full	SinglePathMatch	Full
124	gb|AM176551|+|30-891|ARO:3001130|SHV-76	(17) 1612535+ (877)	17	877	1612535	16	822	806	1612535	1612535	17	877	MatchOnPath	SinglePathMatch	MatchOnPath	SinglePathMatch	Full	SinglePathMatch	Full
125	gb|AM176552|+|30-891|ARO:3001131|SHV-77	(17) 1612535+ (877)	17	877	1612535	16	822	806	1612535	1612535	17	877	MatchOnPath	SinglePathMatch	MatchOnPath	SinglePathMatch	Full	SinglePathMatch	Full
126	gb|AM176553|+|30-891|ARO:3001132|SHV-78	(17) 1612535+ (877)	17	877	1612535	16	822	806	1612535	1612535	17	877	MatchOnPath	SinglePathMatch	MatchOnPath	SinglePathMatch	Full	SinglePathMatch	Full
127	gb|AM176554|+|30-891|ARO:3001133|SHV-79	(17) 1612535+ (877)	17	877	1612535	16	822	806	1612535	1612535	17	877	MatchOnPath	SinglePathMatch	MatchOnPath	SinglePathMatch	Full	SinglePathMatch	Full
128	gb|AM176555|+|0-861|ARO:3001134|SHV-80	(17) 1612535+ (877)	17	877	1612535	16	822	806	1612535	1612535	17	877	MatchOnPath	SinglePathMatch	MatchOnPath	SinglePathMatch	Full	SinglePathMatch	Full
129	gb|AM176556|+|25-886|ARO:3001135|SHV-81	(17) 1612535+ (877)	17	877	1612535	16	822	806	1612535	1612535	17	877	MatchOnPath	SinglePathMatch	MatchOnPath	SinglePathMatch	Full	SinglePathMatch	Full
130	gb|AM176557|+|0-861|ARO:3001136|SHV-82	(17) 1612535+ (877)	17	877	1612535	16	822	806	1612535	1612535	17	877	MatchOnPath	SinglePathMatch	MatchOnPath	SinglePathMatch	Full	SinglePathMatch	Full
131	gb|AM176558|+|0-861|ARO:3001137|SHV-83	(19) 1612535+ (877)	19	877	1612535	18	822	804	1612535	1612535	19	877	MatchOnPath	SinglePathMatch	MatchOnPath	SinglePathMatch	Full	SinglePathMatch	Full
132	gb|AM183304|+|208-1069|ARO:3001017|TEM-150	"(47) 3478183-, 50639855- (37) , (47) 3478183-, 36393793+ (37)"	"47, 47"	"37, 37"	"3478183, 50639855,3478183, 36393793"	46	852	806	3478183	3478183	47	907	Different	SinglePathMatch	MatchOnPath	SinglePathMatch	Different	SinglePathMatch	SinglePathMatch
133	gb|AM231719|+|0-825|ARO:3001650|OXA-90	(54150) 246080- (54974)	54150	54974	246080	54149	54919	770	246080	246080	54150	54974	MatchOnPath	SinglePathMatch	MatchOnPath	SinglePathMatch	Full	SinglePathMatch	Full
134	gb|AM231720|+|0-825|ARO:3001438|OXA-100	(54150) 246080- (54974)	54150	54974	246080	54149	54919	770	246080	246080	54150	54974	MatchOnPath	SinglePathMatch	MatchOnPath	SinglePathMatch	Full	SinglePathMatch	Full
135	gb|AM261837|+|73-865|ARO:3002619|aadA22	(11) 104600- (802)	11	802	104600	10	747	737	104600	104600	11	802	MatchOnPath	SinglePathMatch	MatchOnPath	SinglePathMatch	Full	SinglePathMatch	Full
136	gb|AM279652|+|0-825|ARO:3001646|OXA-98	(54150) 246080- (54974)	54150	54974	246080	54149	54919	770	246080	246080	54150	54974	MatchOnPath	SinglePathMatch	MatchOnPath	SinglePathMatch	Full	SinglePathMatch	Full
137	gb|AM286274|+|0-861|ARO:3001001|TEM-137	"(47) 3478183-, 50639855- (37) , (47) 3478183-, 36393793+ (37)"	"47, 47"	"37, 37"	"3478183, 50639855,3478183, 36393793"	46	852	806	3478183	3478183	47	907	Different	SinglePathMatch	MatchOnPath	SinglePathMatch	Different	SinglePathMatch	SinglePathMatch
138	gb|AM412777|+|117-918|ARO:3001439|OXA-101	(660) 104604+ (1460)	660	1460	104604	659	1405	746	104604	104604	660	1460	MatchOnPath	SinglePathMatch	MatchOnPath	SinglePathMatch	Full	SinglePathMatch	Full
139	gb|AM849805|+|262-1123|ARO:3000886|TEM-15	"(47) 3478183-, 50639855- (37) , (47) 3478183-, 36393793+ (37)"	"47, 47"	"37, 37"	"3478183, 50639855,3478183, 36393793"	46	852	806	3478183	3478183	47	907	Different	SinglePathMatch	MatchOnPath	SinglePathMatch	Different	SinglePathMatch	SinglePathMatch
140	gb|AM941159|+|208-1069|ARO:3001022|TEM-156	"(47) 3478183-, 50639855- (37) , (47) 3478183-, 36393793+ (37)"	"47, 47"	"37, 37"	"3478183, 50639855,3478183, 36393793"	46	852	806	3478183	3478183	47	907	Different	SinglePathMatch	MatchOnPath	SinglePathMatch	Different	SinglePathMatch	SinglePathMatch
141	gb|AM941844|+|0-861|ARO:3001336|SHV-98	(17) 1612535+ (877)	17	877	1612535	16	822	806	1612535	1612535	17	877	MatchOnPath	SinglePathMatch	MatchOnPath	SinglePathMatch	Full	SinglePathMatch	Full
142	gb|AM941845|+|0-861|ARO:3001337|SHV-99	(17) 1612535+ (877)	17	877	1612535	16	822	806	1612535	1612535	17	877	MatchOnPath	SinglePathMatch	MatchOnPath	SinglePathMatch	Full	SinglePathMatch	Full
143	gb|AM941847|+|0-861|ARO:3001155|SHV-106	(17) 1612535+ (877)	17	877	1612535	16	822	806	1612535	1612535	17	877	MatchOnPath	SinglePathMatch	MatchOnPath	SinglePathMatch	Full	SinglePathMatch	Full
144	gb|AM941848|+|0-861|ARO:3001156|SHV-107	(17) 1612535+ (877)	17	877	1612535	16	822	806	1612535	1612535	17	877	MatchOnPath	SinglePathMatch	MatchOnPath	SinglePathMatch	Full	SinglePathMatch	Full
145	gb|AP009048|-|4338624-4340268|ARO:3003576|eptA	(7279) 268608- (8922)	7279	8922	268608	7278	8867	1589	268608	268608	7279	8922	MatchOnPath	SinglePathMatch	MatchOnPath	SinglePathMatch	Full	SinglePathMatch	Full
146	gb|AP012030.1|-|395553-396711|ARO:3004612|Escherichia_coli_ampH	(3881) 243533- (5038)	3881	5038	243533	3880	4973	1093	243533	243533	3881	5038	MatchOnPath	SinglePathMatch	MatchOnPath	SinglePathMatch	Full	SinglePathMatch	Full
147	gb|APON01000041.1|+|10443-11268|ARO:3001736|OXA-281	(157) 5350482- (984)	157	984	5350482	156	929	773	5350482	5350482	157	984	MatchOnPath	SinglePathMatch	MatchOnPath	SinglePathMatch	Full	SinglePathMatch	Full
148	gb|APOR01000009.1|+|341736-342561|ARO:3001716|OXA-260	(54150) 246080- (54974)	54150	54974	246080	54149	54919	770	246080	246080	54150	54974	MatchOnPath	SinglePathMatch	MatchOnPath	SinglePathMatch	Full	SinglePathMatch	Full
149	gb|APPZ01000001.1|+|7525-8353|ARO:3001735|OXA-280	(157) 5350482- (984)	157	984	5350482	156	929	773	5350482	5350482	157	984	MatchOnPath	SinglePathMatch	MatchOnPath	SinglePathMatch	Full	SinglePathMatch	Full
150	gb|APQF01000011.1|+|291557-292379|ARO:3001707|OXA-103	(81) 254088- (902)	81	902	254088	80	847	767	254088	254088	81	902	MatchOnPath	SinglePathMatch	MatchOnPath	SinglePathMatch	Full	SinglePathMatch	Full
151	gb|APQV01000009.1|+|266252-267077|ARO:3001717|OXA-261	(54150) 246080- (54974)	54150	54974	246080	54149	54919	770	246080	246080	54150	54974	MatchOnPath	SinglePathMatch	MatchOnPath	SinglePathMatch	Full	SinglePathMatch	Full
152	gb|APQY01000006.1|+|416598-417423|ARO:3001719|OXA-263	(54150) 246080- (54974)	54150	54974	246080	54149	54919	770	246080	246080	54150	54974	MatchOnPath	SinglePathMatch	MatchOnPath	SinglePathMatch	Full	SinglePathMatch	Full
153	gb|APRA01000005.1|+|465153-465978|ARO:3001718|OXA-262	(54150) 246080- (54974)	54150	54974	246080	54149	54919	770	246080	246080	54150	54974	MatchOnPath	SinglePathMatch	MatchOnPath	SinglePathMatch	Full	SinglePathMatch	Full
154	gb|AY027590|+|112-973|ARO:3000955|TEM-88	"(47) 3478183-, 50639855- (37) , (47) 3478183-, 36393793+ (37)"	"47, 47"	"37, 37"	"3478183, 50639855,3478183, 36393793"	46	852	806	3478183	3478183	47	907	Different	SinglePathMatch	MatchOnPath	SinglePathMatch	Different	SinglePathMatch	SinglePathMatch
155	gb|AY036620|+|88-949|ARO:3001092|SHV-34	(17) 1612535+ (877)	17	877	1612535	16	822	806	1612535	1612535	17	877	MatchOnPath	SinglePathMatch	MatchOnPath	SinglePathMatch	Full	SinglePathMatch	Full
156	gb|AY037778|+|91-952|ARO:3001090|SHV-32	(17) 1612535+ (877)	17	877	1612535	16	822	806	1612535	1612535	17	877	MatchOnPath	SinglePathMatch	MatchOnPath	SinglePathMatch	Full	SinglePathMatch	Full
157	gb|AY039040|+|188-1022|ARO:3000956|TEM-89	(47) 3478183- (880)	47	880	3478183	46	825	779	3478183	3478183	47	880	MatchOnPath	SinglePathMatch	MatchOnPath	SinglePathMatch	Full	SinglePathMatch	Full
158	gb|AY040093|+|68-929|ARO:3000965|TEM-102	"(47) 3478183-, 50639855- (37) , (47) 3478183-, 36393793+ (37)"	"47, 47"	"37, 37"	"3478183, 50639855,3478183, 36393793"	46	852	806	3478183	3478183	47	907	Different	SinglePathMatch	MatchOnPath	SinglePathMatch	Different	SinglePathMatch	SinglePathMatch
159	gb|AY055428.1|-|20268-21084|ARO:3000412|sul2	(22) 51050683+ (837)	22	837	51050683	21	782	761	51050683	51050683	22	837	MatchOnPath	SinglePathMatch	MatchOnPath	SinglePathMatch	Full	SinglePathMatch	Full
160	gb|AY065991|+|6-867|ARO:3001101|SHV-43	(17) 1612535+ (877)	17	877	1612535	16	822	806	1612535	1612535	17	877	MatchOnPath	SinglePathMatch	MatchOnPath	SinglePathMatch	Full	SinglePathMatch	Full
161	gb|AY070258|+|0-861|ARO:3001093|SHV-35	(17) 1612535+ (877)	17	877	1612535	16	822	806	1612535	1612535	17	877	MatchOnPath	SinglePathMatch	MatchOnPath	SinglePathMatch	Full	SinglePathMatch	Full
162	gb|AY072920|+|0-861|ARO:3000973|TEM-110	"(47) 3478183-, 50639855- (37) , (47) 3478183-, 36393793+ (37)"	"47, 47"	"37, 37"	"3478183, 50639855,3478183, 36393793"	46	852	806	3478183	3478183	47	907	Different	SinglePathMatch	MatchOnPath	SinglePathMatch	Different	SinglePathMatch	SinglePathMatch
163	gb|AY079099|+|148-1009|ARO:3001096|SHV-38	(17) 1612535+ (877)	17	877	1612535	16	822	806	1612535	1612535	17	877	MatchOnPath	SinglePathMatch	MatchOnPath	SinglePathMatch	Full	SinglePathMatch	Full
164	gb|AY092401|+|0-861|ARO:3000963|TEM-96	(47) 3478183- (907)	47	907	3478183	46	852	806	3478183	3478183	47	907	MatchOnPath	SinglePathMatch	MatchOnPath	SinglePathMatch	Full	SinglePathMatch	Full
165	gb|AY101578|+|214-1075|ARO:3000969|TEM-106	"(47) 3478183-, 50639855- (37) , (47) 3478183-, 36393793+ (37)"	"47, 47"	"37, 37"	"3478183, 50639855,3478183, 36393793"	46	852	806	3478183	3478183	47	907	Different	SinglePathMatch	MatchOnPath	SinglePathMatch	Different	SinglePathMatch	SinglePathMatch
166	gb|AY101764|+|206-1067|ARO:3000970|TEM-107	"(47) 3478183-, 50639855- (37) , (47) 3478183-, 36393793+ (37)"	"47, 47"	"37, 37"	"3478183, 50639855,3478183, 36393793"	46	852	806	3478183	3478183	47	907	Different	SinglePathMatch	MatchOnPath	SinglePathMatch	Different	SinglePathMatch	SinglePathMatch
167	gb|AY123251.1|+|811-1444|ARO:3002680|catB8	(725) 104606+ (1357)	725	1357	104606	724	1302	578	104606	104606	725	1357	MatchOnPath	SinglePathMatch	MatchOnPath	SinglePathMatch	Full	SinglePathMatch	Full
168	gb|AY130282|+|0-764|ARO:3000980|TEM-117	(83) 3478183- (846)	83	846	3478183	0	0	0		0	0	0	Different	Different	Different	Different	Different	Different	Different
169	gb|AY130284|+|0-785|ARO:3000941|TEM-75	(83) 3478183- (867)	83	867	3478183	0	0	0		0	0	0	Different	Different	Different	Different	Different	Different	Different
170	gb|AY130285|+|0-785|ARO:3000981|TEM-118	(83) 3478183- (867)	83	867	3478183	0	0	0		0	0	0	Different	Different	Different	Different	Different	Different	Different
171	gb|AY136758|+|377-947|ARO:3002582|AAC(6')-Ib11	(83) 104606+ (632)	83	632	104606	82	577	495	104606	104606	83	632	MatchOnPath	SinglePathMatch	MatchOnPath	SinglePathMatch	Full	SinglePathMatch	Full
172	gb|AY139603|+|106-898|ARO:3002608|aadA8	(11) 104600- (802)	11	802	104600	"0,10"	"267,747"	267;737	41790385;104600	104600	11	802	Different	Different	Different	Different	Full	SinglePathMatch	Full
173	gb|AY152390|+|0-1335|ARO:3003785|Chlamydia_trachomatis_intrinsic_murA_conferring_resistance_to_fosfomycin	(723) 223703+ (2057)	723	2057	223703	722	2002	1280	223703	223703	723	2057	MatchOnPath	SinglePathMatch	MatchOnPath	SinglePathMatch	Full	SinglePathMatch	Full
174	gb|AY171244|+|46-838|ARO:3002618|aadA21	(11) 104600- (802)	11	802	104600	10	747	737	104600	104600	11	802	MatchOnPath	SinglePathMatch	MatchOnPath	SinglePathMatch	Full	SinglePathMatch	Full
175	gb|AY177427.1|+|1141-2293|ARO:3003848|ADC-2	(64) 126080+ (1215)	64	1215	126080	63	1160	1097	126080	126080	64	1215	MatchOnPath	SinglePathMatch	MatchOnPath	SinglePathMatch	Full	SinglePathMatch	Full
176	gb|AY178995.1|+|0-1152|ARO:3003849|ADC-3	(64) 126080+ (1215)	64	1215	126080	63	1160	1097	126080	126080	64	1215	MatchOnPath	SinglePathMatch	MatchOnPath	SinglePathMatch	Full	SinglePathMatch	Full
177	gb|AY178996.1|+|0-1152|ARO:3003850|ADC-4	(64) 126080+ (1215)	64	1215	126080	63	1160	1097	126080	126080	64	1215	MatchOnPath	SinglePathMatch	MatchOnPath	SinglePathMatch	Full	SinglePathMatch	Full
178	gb|AY210887|+|111-972|ARO:3001104|SHV-46	(17) 1612535+ (877)	17	877	1612535	16	822	806	1612535	1612535	17	877	MatchOnPath	SinglePathMatch	MatchOnPath	SinglePathMatch	Full	SinglePathMatch	Full
179	gb|AY223863|+|170-1031|ARO:3001113|SHV-57	(17) 1612535+ (877)	17	877	1612535	16	822	806	1612535	1612535	17	877	MatchOnPath	SinglePathMatch	MatchOnPath	SinglePathMatch	Full	SinglePathMatch	Full
180	gb|AY243512|+|208-1069|ARO:3000982|TEM-120	"(47) 3478183-, 50639855- (37) , (47) 3478183-, 36393793+ (37)"	"47, 47"	"37, 37"	"3478183, 50639855,3478183, 36393793"	46	852	806	3478183	3478183	47	907	Different	SinglePathMatch	MatchOnPath	SinglePathMatch	Different	SinglePathMatch	SinglePathMatch
181	gb|AY259119|+|116-977|ARO:3001102|SHV-44	(17) 1612535+ (877)	17	877	1612535	16	822	806	1612535	1612535	17	877	MatchOnPath	SinglePathMatch	MatchOnPath	SinglePathMatch	Full	SinglePathMatch	Full
182	gb|AY263404|+|0-861|ARO:3001105|SHV-48	(17) 1612535+ (877)	17	877	1612535	16	822	806	1612535	1612535	17	877	MatchOnPath	SinglePathMatch	MatchOnPath	SinglePathMatch	Full	SinglePathMatch	Full
183	gb|AY271267|+|0-861|ARO:3000983|TEM-121	"(47) 3478183-, 50639855- (37) , (47) 3478183-, 36393793+ (37)"	"47, 47"	"37, 37"	"3478183, 50639855,3478183, 36393793"	46	852	806	3478183	3478183	47	907	Different	SinglePathMatch	MatchOnPath	SinglePathMatch	Different	SinglePathMatch	SinglePathMatch
184	gb|AY277255|+|66-927|ARO:3001089|SHV-31	(17) 1612535+ (877)	17	877	1612535	16	822	806	1612535	1612535	17	877	MatchOnPath	SinglePathMatch	MatchOnPath	SinglePathMatch	Full	SinglePathMatch	Full
185	gb|AY288523|+|0-825|ARO:3001671|OXA-49	(81) 254088- (902)	81	902	254088	80	847	767	254088	254088	81	902	MatchOnPath	SinglePathMatch	MatchOnPath	SinglePathMatch	Full	SinglePathMatch	Full
186	gb|AY288915|+|0-861|ARO:3001107|SHV-50	(17) 1612535+ (877)	17	877	1612535	16	822	806	1612535	1612535	17	877	MatchOnPath	SinglePathMatch	MatchOnPath	SinglePathMatch	Full	SinglePathMatch	Full
187	gb|AY289548|+|0-861|ARO:3001108|SHV-51	(17) 1612535+ (877)	17	877	1612535	16	822	806	1612535	1612535	17	877	MatchOnPath	SinglePathMatch	MatchOnPath	SinglePathMatch	Full	SinglePathMatch	Full
188	gb|AY306130|+|0-789|ARO:3001796|OXA-50	(19144) 237664- (19932)	19144	19932	237664	19143	19877	734	237664	237664	19144	19932	MatchOnPath	SinglePathMatch	MatchOnPath	SinglePathMatch	Full	SinglePathMatch	Full
189	gb|AY307100|+|0-861|ARO:3000984|TEM-122	"(47) 3478183-, 50639855- (37) , (47) 3478183-, 36393793+ (37)"	"47, 47"	"37, 37"	"3478183, 50639855,3478183, 36393793"	46	852	806	3478183	3478183	47	907	Different	SinglePathMatch	MatchOnPath	SinglePathMatch	Different	SinglePathMatch	SinglePathMatch
190	gb|AY327539|+|0-858|ARO:3000985|TEM-123	"(47) 3478183-, 50639855- (37) , (47) 3478183-, 36393793+ (37)"	"47, 47"	"37, 37"	"3478183, 50639855,3478183, 36393793"	46	852	806	3478183	3478183	47	907	Different	SinglePathMatch	MatchOnPath	SinglePathMatch	Different	SinglePathMatch	SinglePathMatch
191	gb|AY327540|+|0-858|ARO:3000986|TEM-124	"(47) 3478183-, 50639855- (37) , (47) 3478183-, 36393793+ (37)"	"47, 47"	"37, 37"	"3478183, 50639855,3478183, 36393793"	46	852	806	3478183	3478183	47	907	Different	SinglePathMatch	MatchOnPath	SinglePathMatch	Different	SinglePathMatch	SinglePathMatch
192	gb|AY368236|+|0-861|ARO:3000989|TEM-127	"(47) 3478183-, 50639855- (37) , (47) 3478183-, 36393793+ (37)"	"47, 47"	"37, 37"	"3478183, 50639855,3478183, 36393793"	46	852	806	3478183	3478183	47	907	Different	SinglePathMatch	MatchOnPath	SinglePathMatch	Different	SinglePathMatch	SinglePathMatch
193	gb|AY368237|+|0-861|ARO:3000990|TEM-128	"(47) 3478183-, 50639855- (37) , (47) 3478183-, 36393793+ (37)"	"47, 47"	"37, 37"	"3478183, 50639855,3478183, 36393793"	46	852	806	3478183	3478183	47	907	Different	SinglePathMatch	MatchOnPath	SinglePathMatch	Different	SinglePathMatch	SinglePathMatch
194	gb|AY436361|+|131-992|ARO:3000995|TEM-131	"(47) 3478183-, 50639855- (37) , (47) 3478183-, 36393793+ (37)"	"47, 47"	"37, 37"	"3478183, 50639855,3478183, 36393793"	46	852	806	3478183	3478183	47	907	Different	SinglePathMatch	MatchOnPath	SinglePathMatch	Different	SinglePathMatch	SinglePathMatch
195	gb|AY445080|+|0-801|ARO:3001795|OXA-56	(660) 104604+ (1460)	660	1460	104604	659	1405	746	104604	104604	660	1460	MatchOnPath	SinglePathMatch	MatchOnPath	SinglePathMatch	Full	SinglePathMatch	Full
196	gb|AY453161|+|500-1430|ARO:3000090|BLA1	0	0	0	0	"455,0"	"951,287"	496;287	235414;213549	"459759, 213549"	1	556	Different	Different	Different	Different	Different	Different	Different
197	gb|AY453162|+|500-1271|ARO:3004189|Bla2	(1447) 226465- (2217)	1447	2217	226465	1446	2162	716	226465	226465	1447	2217	MatchOnPath	SinglePathMatch	MatchOnPath	SinglePathMatch	Full	SinglePathMatch	Full
198	gb|AY491682|+|0-861|ARO:3000996|TEM-132	"(47) 3478183-, 50639855- (37) , (47) 3478183-, 36393793+ (37)"	"47, 47"	"37, 37"	"3478183, 50639855,3478183, 36393793"	46	852	806	3478183	3478183	47	907	Different	SinglePathMatch	MatchOnPath	SinglePathMatch	Different	SinglePathMatch	SinglePathMatch
199	gb|AY528425|+|0-861|ARO:3000997|TEM-133	"(47) 3478183-, 50639855- (37) , (47) 3478183-, 36393793+ (37)"	"47, 47"	"37, 37"	"3478183, 50639855,3478183, 36393793"	46	852	806	3478183	3478183	47	907	Different	SinglePathMatch	MatchOnPath	SinglePathMatch	Different	SinglePathMatch	SinglePathMatch
200	gb|AY528718|+|413-1274|ARO:3001106|SHV-49	(17) 1612535+ (877)	17	877	1612535	16	822	806	1612535	1612535	17	877	MatchOnPath	SinglePathMatch	MatchOnPath	SinglePathMatch	Full	SinglePathMatch	Full
